Epoch[26]-train avg_loss=0.464 avg_top1=0.727 avg_top2=0.905 avg_top3=0.935 avg_iou=0.500 
Epoch[26]-val   avg_loss=0.432 avg_top1=0.727 avg_top2=0.911 avg_top3=0.941 avg_iou=0.535 
Epoch[27]-train avg_loss=0.456 avg_top1=0.729 avg_top2=0.908 avg_top3=0.936 avg_iou=0.500 
Epoch[27]-val   avg_loss=0.441 avg_top1=0.717 avg_top2=0.913 avg_top3=0.944 avg_iou=0.535 
Epoch[28]-train avg_loss=0.456 avg_top1=0.727 avg_top2=0.908 avg_top3=0.938 avg_iou=0.500 
Epoch[28]-val   avg_loss=0.436 avg_top1=0.727 avg_top2=0.905 avg_top3=0.935 avg_iou=0.535 
Epoch[29]-train avg_loss=0.456 avg_top1=0.724 avg_top2=0.905 avg_top3=0.934 avg_iou=0.500 
Epoch[29]-val   avg_loss=0.442 avg_top1=0.724 avg_top2=0.909 avg_top3=0.942 avg_iou=0.535 
Epoch[30]-train avg_loss=0.443 avg_top1=0.732 avg_top2=0.911 avg_top3=0.941 avg_iou=0.500 
Epoch[30]-val   avg_loss=0.425 avg_top1=0.725 avg_top2=0.914 avg_top3=0.942 avg_iou=0.499 
Epoch[31]-train avg_loss=0.422 avg_top1=0.739 avg_top2=0.915 avg_top3=0.943 avg_iou=0.500 
Epoch[31]-val   avg_loss=0.405 avg_top1=0.732 avg_top2=0.917 avg_top3=0.946 avg_iou=0.500 
Epoch[32]-train avg_loss=0.417 avg_top1=0.742 avg_top2=0.916 avg_top3=0.942 avg_iou=0.500 
Epoch[32]-val   avg_loss=0.427 avg_top1=0.736 avg_top2=0.910 avg_top3=0.937 avg_iou=0.499 
Epoch[33]-train avg_loss=0.426 avg_top1=0.737 avg_top2=0.913 avg_top3=0.940 avg_iou=0.500 
Epoch[33]-val   avg_loss=0.403 avg_top1=0.735 avg_top2=0.920 avg_top3=0.949 avg_iou=0.535 
Epoch[34]-train avg_loss=0.417 avg_top1=0.740 avg_top2=0.917 avg_top3=0.943 avg_iou=0.500 
Epoch[34]-val   avg_loss=0.404 avg_top1=0.743 avg_top2=0.917 avg_top3=0.942 avg_iou=0.535 
Epoch[35]-train avg_loss=0.409 avg_top1=0.745 avg_top2=0.916 avg_top3=0.943 avg_iou=0.500 
Epoch[35]-val   avg_loss=0.386 avg_top1=0.746 avg_top2=0.921 avg_top3=0.950 avg_iou=0.535 
Epoch[36]-train avg_loss=0.403 avg_top1=0.746 avg_top2=0.919 avg_top3=0.945 avg_iou=0.500 
Epoch[36]-val   avg_loss=0.385 avg_top1=0.745 avg_top2=0.920 avg_top3=0.948 avg_iou=0.535 
Epoch[37]-train avg_loss=0.397 avg_top1=0.749 avg_top2=0.919 avg_top3=0.945 avg_iou=0.500 
Epoch[37]-val   avg_loss=0.381 avg_top1=0.749 avg_top2=0.927 avg_top3=0.953 avg_iou=0.535 
Epoch[38]-train avg_loss=0.398 avg_top1=0.747 avg_top2=0.918 avg_top3=0.944 avg_iou=0.500 
Epoch[38]-val   avg_loss=0.382 avg_top1=0.744 avg_top2=0.923 avg_top3=0.950 avg_iou=0.535 
Epoch[39]-train avg_loss=0.394 avg_top1=0.746 avg_top2=0.921 avg_top3=0.947 avg_iou=0.500 
Epoch[39]-val   avg_loss=0.407 avg_top1=0.728 avg_top2=0.924 avg_top3=0.954 avg_iou=0.535 
Epoch[40]-train avg_loss=0.394 avg_top1=0.746 avg_top2=0.920 avg_top3=0.946 avg_iou=0.500 
Epoch[40]-val   avg_loss=0.379 avg_top1=0.753 avg_top2=0.923 avg_top3=0.950 avg_iou=0.535 
Epoch[41]-train avg_loss=0.378 avg_top1=0.756 avg_top2=0.923 avg_top3=0.947 avg_iou=0.500 
Epoch[41]-val   avg_loss=0.361 avg_top1=0.754 avg_top2=0.928 avg_top3=0.954 avg_iou=0.535 
Epoch[42]-train avg_loss=0.366 avg_top1=0.762 avg_top2=0.926 avg_top3=0.951 avg_iou=0.500 
Epoch[42]-val   avg_loss=0.380 avg_top1=0.746 avg_top2=0.921 avg_top3=0.950 avg_iou=0.535 
Epoch[43]-train avg_loss=0.369 avg_top1=0.758 avg_top2=0.925 avg_top3=0.949 avg_iou=0.500 
Epoch[43]-val   avg_loss=0.379 avg_top1=0.743 avg_top2=0.925 avg_top3=0.954 avg_iou=0.535 
Epoch[44]-train avg_loss=0.381 avg_top1=0.754 avg_top2=0.923 avg_top3=0.947 avg_iou=0.500 
Epoch[44]-val   avg_loss=0.370 avg_top1=0.751 avg_top2=0.927 avg_top3=0.953 avg_iou=0.499 
Epoch[45]-train avg_loss=0.361 avg_top1=0.765 avg_top2=0.928 avg_top3=0.952 avg_iou=0.500 
Epoch[45]-val   avg_loss=0.357 avg_top1=0.757 avg_top2=0.929 avg_top3=0.956 avg_iou=0.535 
